OID_,FIRE_ID,RASTERVALU
488,AZ3189711062120170506,1566
489,AZ3178211084220170423,1460
490,AZ3155011147420160721,1123
491,AZ3147311129120160725,1336
492,AZ3153510989320180607,1610
493,AZ3170611160020180208,1494
494,AZ3192011006020180210,1576
495,AZ3158811049120181114,1482
496,AZ3146411144720180705,1141
497,AZ3228010995520180726,1569
498,NM3158510868020110731,1827
499,AZ3215510942720170607,1539
500,AZ3177010932320170607,1994
501,AZ3191210946620170712,1681
502,AZ3158910942720170624,1555
503,NM3134210859020170625,1718
504,AZ3168110952420170628,1665
505,AZ3221410948420170704,1466
506,NM3144910902720190629,1785
507,AZ3209510937320200606,1851
508,AZ3175510913820200810,1681
509,AZ3238810909020200813,1545
510,AZ3170410920320201031,1591
511,AZ3150310908920150617,1798
512,NM3222010807020140501,1361
513,NM3146610903420150602,1817
514,NM3193110835220110619,1375
515,NM3272110829320110307,1776
516,NM3135610886320110507,1626
517,AZ3182010921120110508,2296
518,NM3165910870720110613,1642
519,NM3139210897720160302,1645
520,NM3160310865720160303,1791
521,AZ3138210942420160510,1725
522,AZ3156610936220160307,1523
523,AZ3140510908020160321,1599
524,NM3145210885920190207,1581
525,NM3154510871520180422,1781
526,AZ3154810940620180724,1866
527,AZ3198010937020180512,1733
528,NM3241610542920110809,1758
529,NM3250010718420200606,1982
530,NM3238510580520110701,1554
531,NM3229310648820110421,2296
532,NM3261410729020110403,1370
533,NM3258910518820110602,1957
534,NM3257210553420110603,2065
535,NM3242810655220110610,1567
536,NM3235010584620110411,1617
537,NM3250810502620180615,1754
538,NM3242610655220180624,1669
539,TX3094010424220110713,1613
540,NM3212110468320110806,1925
541,NM3225810312720110806,984
542,NM3234910450720110807,1322
543,TX3117910439120110807,1546
544,NM3208610472220110720,1926
545,NM3240310490220110720,1657
546,NM3216910466220120629,1768
547,NM3212110384520200729,1033
548,NM3232110478620190808,1621
549,TX3166310307120200827,829
550,TX3238310102720110414,1002
551,NM3202810492620110224,1956
552,NM3260710436220110227,997
553,NM3223310475220110424,1327
554,NM3208110317520110426,918
555,TX3198410370220110502,951
556,NM3218910476820110510,1760
557,TX3218510275020110406,984
558,TX3188610372020110518,909
559,TX3205010237020110524,981
560,NM3219910458420110605,1477
561,TX3110410308820110211,852
562,NM3217510449020110613,1262
563,TX3197910490320160507,2073
564,NM3221210467920180522,1716
565,NM3250010342220180417,1121
566,TX3179610058220120411,748
567,TX3242110032020110711,648
568,TX3216410133120110712,762
569,TX3218910070620110811,647
570,TX3214910122820110830,722
571,TX3194210124620110719,817
572,TX3205610062720110706,751
573,TX3231010029020140306,741
574,TX3136410087820190820,703
575,TX3116710021720190820,664
576,TX3139610132120190825,756
577,TX3217410111820190907,660
578,TX3084110089420190720,764
579,TX3095710045720190723,706
580,TX3091110111520190806,781
581,TX3148910109320190808,729
582,TX3111210044220150815,680
583,TX3091710093720151007,764
584,TX3111910137620200901,844
585,TX3159210116820200704,769
586,TX3187910069520200613,691
587,TX3206310086420200619,688
588,TX3358410038420110215,632
589,TX3164510067020110217,643
590,TX3158010100120110618,784
591,TX3107810148520110618,802
592,TX3170610062820110620,724
593,TX3207810046020110620,735
594,TX3220810145420110620,830
595,TX3179610058220110411,687
596,TX3131010099820110426,820
597,TX3105410125020110227,788
598,TX3209710116720110227,672
599,TX3213810016420110227,697
600,TX3238510242020110227,915
601,TX3111510127920110301,821
602,TX3142410252920110426,852
603,TX3232210090820110426,639
604,TX3219610245820110322,946
605,TX3104410035320110401,743
606,TX3178810230220110403,871
607,TX3259510061420110508,664
608,TX3216510143520110509,817
609,TX3181510123720110517,805
610,TX3188910171020110406,796
611,TX3154610065920110407,668
612,TX3194110185320110407,800
613,TX3157610091820110408,765
614,TX3195910223720110524,877
615,TX3212310256320110524,927
616,TX3186910218420110409,850
617,TX3143710130220110528,754
618,TX3197310148420110603,828
619,TX3189110073520110608,642
620,TX3135910243420110609,747
621,TX3237910045820110610,701
622,TX3101210069420160919,765
623,TX3086610127820180604,803
624,TX3095610045720180124,695
625,TX3097610133020180413,788
626,TX3096410129920180702,817
627,TX3146909831620110805,442
628,TX3249409854420110812,438
629,TX3142009810920110828,397
630,TX3253809889920110726,414
631,TX3179309977020170919,583
632,TX3185709976920200614,566
633,TX3104609896120140730,512
634,TX3105909895620150822,496
635,TX3266509883820151019,423
636,TX3112609904920200802,501
637,TX3135909917920200714,474
638,TX3143909942320200714,425
639,TX3146709888420200712,421
640,TX3149009984920200712,504
641,TX3231910015220200713,644
642,TX3268709915020200830,392
643,TX3231909882620110415,464
644,TX3242309896820110416,439
645,TX3259909869220110416,472
646,TX3163209894820110310,464
647,TX3162209895720110403,458
648,TX3265409930320110603,480
649,TX3168409971720160912,545
650,TX3251909900020180628,435
651,TX3267009971820180413,510
652,TX3127709795020180718,312
653,TX3165409878420180723,455
654,TX3157209838720180723,485
655,TX3119609768720111013,294
656,TX3123409768020110810,221
657,TX3127009776020110820,234
658,TX3120009777320110826,229
659,TX3182709733920110903,190
660,TX3125609613020110904,172
661,TX3168409676120110904,171
662,TX3187009562420110904,143
663,TX3161209566220110905,73
664,TX3077109572420110619,57
665,TX3209209772120110311,257
666,TX3098709420120110817,51
667,TX3209109495620110830,98
668,LA3205609306220110902,56
669,TX3132409534520110904,105
670,TX3175209496120110904,71
671,TX3250909488420110904,81
672,TX3269809481620110904,77
673,TX3199309545120110904,92
674,TX3271009425420110905,95
675,TX3165109516420110911,111
676,TX3248409418820110911,104
677,LA3148409309620130228,69
678,TX3135809502620160214,82
679,LA3243709322020151013,99
680,LA3205609310920151017,41
681,LA3101809313220150209,75
682,LA3102009319720200308,80
683,TX3099509411720110618,42
684,TX3102809508720110416,78
685,TX3101309494320110617,82
686,LA3093109314220180523,71
687,LA3108909255720120519,66
688,LA3105009256020140327,62
689,LA3104409290120120925,80
690,LA3149809304220130228,90
691,LA3151009301520130228,64
692,LA3108509298920191213,76
693,LA3148209301620150813,71
694,LA3141409290520160209,78
695,LA3235609291220151013,90
696,LA3112509257120180322,57
697,MS3113308915020120411,90
698,MS3210008962020140327,139
699,MS3111308914320130325,66
700,MS3109008910020140213,75
701,MS3113008908020140313,74
702,MS3108708911820151017,75
703,MS3098608956120151018,99
704,MS3111208913420150212,82
705,MS3116108914420150214,104
706,MS3115808912920200315,109
707,MS3151508873620200313,86
708,MS3108708907220200316,74
709,MS3108608911920110604,70
710,MS3107908910820110613,50
711,MS3114808913220161023,92
712,MS3110908911120170210,74
713,MS3116308914620160220,72
714,MS3108908905920180122,70
715,MS3114808912920180123,95
716,MS3147008870020180412,83
717,MS3117008848620180323,65
718,MS3113008897020180510,74
719,AL3108608779820190704,44
720,AL3105808635220190927,67
721,FL3090008662820200319,62
722,AL3225508573520110304,92
723,GA3239508464820180322,139
724,GA3160808243120140728,64
725,GA3110908209420110228,31
726,GA3143908142820110313,9
727,GA3113108287620110324,60
728,GA3142808246820110324,49
729,GA3158508288520110324,64
730,GA3172708175020110324,21
731,GA3099108211120110525,39
732,GA3086808215920110606,38
733,GA3110508167620110614,5
734,GA3138108190320110614,21
735,GA3098208214620110615,40
736,GA3119808251620110615,48
737,SC3214308106620160322,1
738,CA3456711995220170708,860
739,CA3454311980320130527,424
740,CA3451411979320191125,496
741,CA3404211954320200531,112
742,CA3431411935320151226,198
743,CA3454611980520160818,804
744,CA3472012055020160918,182
745,CA3453012005420160615,196
746,CA3393811708020110806,650
747,CA3435511743420110902,1265
748,CA3386711768620170925,502
749,CA3386511772020171009,301
750,CA3398311730820170813,697
751,CA3429511836120170901,546
752,CA3398111711620170902,674
753,CA3388211699020170626,649
754,CA3361811742120130805,854
755,CA3337411729920131005,48
756,CA3415911784320140116,582
757,CA3420011896420130502,222
758,CA3423811772220120902,932
759,CA3385711693820120616,777
760,CA3352811727320190904,506
761,CA3337911735120200609,426
762,CA3389511759820201201,150
763,CA3340311726720201224,229
764,CA3446611833020200705,680
765,CA3444111874620200817,622
766,CA3399211705920191010,690
767,CA3432611848120191010,621
768,CA3387911761920201026,212
769,CA3375311768720201026,255
770,CA3378011763820201203,334
771,CA3447311836820191024,565
772,CA3428211880320191030,212
773,CA3433711905320191031,270
774,CA3424811795920200906,2211
775,CA3415711791120200813,617
776,CA3390911703220201213,541
777,CA3405311699120200905,1375
778,CA3336011747220150813,337
779,CA3426511785520150814,724
780,CA3388411764320150419,151
781,CA3342111750320150428,265
782,CA3338911748520150429,159
783,CA3434011747720150717,1320
784,CA3416511754320140430,700
785,CA3300311713320140513,76
786,CA3335311728520140514,152
787,CA3312011716020140514,379
788,CA3329911746620140515,167
789,CA3341811755020140516,40
790,CA3425911746120160816,1086
791,CA3414411793320160620,748
792,CA3416811790020160620,679
793,CA3400611730620170430,543
794,CA3436911855620160709,466
795,CA3341811736820160721,330
796,CA3443111839820160722,1341
797,CA3428811725120160807,1322
798,CA3363011706020180517,584
799,CA3442911910020171205,217
800,CA3433411833820171205,473
801,CA3445311858120171205,295
802,CA3334911719120171207,113
803,CA3490011851020180604,993
804,CA3449011860020180922,529
805,CA3424011893020181108,237
806,CA3424011870020181108,289
807,CA3409611695820180706,2064
808,CA3338011743020180706,181
809,CA3367611751620180806,1136
810,CA3306611643120120524,1101
811,CA3309811647820111001,1237
812,AZ3327111471120110829,68
813,CA3327711653720110721,1318
814,CA3429311680920170619,2042
815,CA3391811691120130807,992
816,CA3337111674720120809,1242
817,CA3394511686920130501,949
818,AZ3302711459320130519,75
819,CA3312611651920130523,792
820,CA3306911654520130526,1305
821,CA3312711649920120813,1016
822,CA3317711645720120813,1172
823,CA3355611691120120814,1092
824,CA3400311682420130609,2144
825,CA3305611654820130706,1645
826,CA3370511672620130715,1758
827,CA3276011669320200905,701
828,CA3388811668420200917,579
829,CA3399211696420200731,1785
830,CA3415811689620150617,2209
831,CA3398311695420160830,1104
832,CA3372011680020180725,1651
833,AZ3421511233820120513,1634
834,AZ3435811237320170624,1784
835,AZ3453511283420130815,1485
836,AZ3422811279120130628,1572
837,AZ3424311248720190714,1366
838,AZ3404711254320200820,1223
839,AZ3378211242020190524,526
840,AZ3376811242920190530,526
841,AZ3380711305020200525,642
842,AZ3344911322120200711,353
843,AZ3417411217520200807,822
844,AZ3427511241920201015,1845
845,AZ3419211221720150816,1265
846,AZ3458211252120150714,1769
847,AZ3431611226820150802,1404
848,AZ3421111274520160608,1583
849,AZ3282711447820190216,48
850,AZ3324911108620120610,1177
851,AZ3328910997820120316,1561
852,AZ3423111078220120510,2070
853,AZ3354410988520120511,1778
854,AZ3393111147420120512,1416
855,AZ3331811087020110817,1879
856,AZ3351411132920110818,1155
857,AZ3383511101020110820,1709
858,AZ3340011115020110828,1287
859,AZ3446811148220110721,2102
860,AZ3418911085320110801,2011
861,AZ3338311046320110706,1206
862,AZ3447811108720171006,2257
863,AZ3442311084220170601,2228
864,AZ3439711120120170610,2330
865,AZ3354711118620170713,1354
866,AZ3415111216320170618,947
867,AZ3377011216320170622,492
868,AZ3363411037520170625,1645
869,AZ3414811196320170707,1172
870,AZ3402511197320170707,1271
871,AZ3409811179220170708,1587
872,AZ3328111080620170508,1946
873,AZ3351610995720170509,1916
874,AZ3400611200320120711,1346
875,AZ3409111206020120711,1215
876,AZ3341710997520140419,1870
877,AZ3389711114620120808,1718
878,AZ3384311153020120812,1194
879,AZ3300611018420130514,1561
880,AZ3310111008020130530,793
881,AZ3339910989520130616,1959
882,AZ3415011088320120614,1876
883,AZ3429411181120200713,1865
884,AZ3309811135620200529,513
885,AZ3304411105620200630,923
886,AZ3342911052420200815,909
887,AZ3354411042020200801,1569
888,AZ3423111210020190621,1045
889,AZ3382911069020200823,1233
890,AZ3398111118420200825,1659
891,AZ3356011090420200818,1142
892,AZ3366211089820200824,1056
893,AZ3350011062220190830,1232
894,AZ3326110999720190625,1563
895,AZ3395311201220190903,1166
896,AZ3417010978820190904,2354
897,AZ3372711202420190707,518
898,AZ3420611050920190708,2006
899,AZ3429911063220190905,2192
900,AZ3453311119120190712,2190
901,AZ3338911013820190715,1448
902,AZ3291711014420200712,1597
903,AZ3337311029920190723,1239
904,AZ3340211129720200531,936
905,AZ3343511035820200606,1280
906,AZ3347911029820200713,1446
907,AZ3338811039120200713,1281
908,AZ3324911096720201021,1217
909,AZ3309311057520200821,831
910,AZ3286311053420200824,1280
911,AZ3340511138520200820,825
912,AZ3358211070120200818,1380
913,AZ3362611156220200613,1671
914,AZ3423611014020190726,1973
915,AZ3414711211820201025,991
916,AZ3449211130220190530,2231
917,AZ3440011201020190603,1240
918,AZ3372911159520190804,797
919,AZ3388511181620200925,1175
920,AZ3384711201720200517,717
921,AZ3395611183620200829,1233
922,AZ3415011213920200531,979
923,AZ3387111175420190607,1124
924,AZ3340811121020190608,1398
925,AZ3347910989720140523,1843
926,AZ3350010980820140523,1889
927,AZ3357411024620150616,1483
928,AZ3350710993220150617,1834
929,AZ3305311091420150617,551
930,AZ3406011035120140617,1870
931,AZ3448811122620140705,2214
932,AZ3454211140020140708,2056
933,AZ3417810984320150624,2271
934,AZ3453611088620150626,2120
935,AZ3452811112620150628,2207
936,AZ3345810987920150819,1865
937,AZ3401111007620150828,2039
938,AZ3453311121020150731,2095
939,AZ3353010999020140501,1789
940,AZ3449111148820150606,2102
941,AZ3393011207420200620,1186
942,AZ3336011011920200828,1631
943,AZ3338510986520200606,2071
944,AZ3446711047420110623,1923
945,AZ3307311037720110626,1726
946,AZ3326811118920110508,731
947,AZ3336311034920160816,1208
948,AZ3448811140320160519,2124
949,AZ3392311092420160520,1841
950,AZ3446411120620160829,2222
951,AZ3442811083120160904,2138
952,AZ3430011091020160912,2075
953,AZ3423911030720160915,2104
954,AZ3405511018420160615,1860
955,AZ3429511212420160628,1170
956,AZ3337911025320160628,1381
957,AZ3407111196320160719,1415
958,AZ3424211065220160719,2214
