OID_,FOD_ID,FPA_ID,SOURCE_SYS,SOURCE_S_1,NWCG_REPOR,NWCG_REP_1,NWCG_REP_2,SOURCE_REP,SOURCE_R_1,LOCAL_FIRE,LOCAL_INCI,FIRE_CODE,FIRE_NAME,ICS_209_IN,ICS_209_NA,MTBS_ID,MTBS_FIRE_,COMPLEX_NA,FIRE_YEAR,DISCOVERY_,DISCOVERY1,DISCOVER_1,STAT_CAUSE,STAT_CAU_1,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESC,STATE,COUNTY,FIPS_CODE,FIPS_NAME
10,201104338,W-618640,FED,DOI-WFMI,BIA,USOKANA,Anadarko Agency,OKANA,Anadarko Agency,1154, ,F2AH,WASHITA CREEK,OK-OKS-511001,Washita Creek, , , ,2011,4/7/2011 0:00:00,97,1600,7.000000000000000,Arson,4/15/2011 0:00:00,105,0800,600.000000000000000,E,34.836700000000000,-98.117800000000003,8.000000000000000,PRIVATE,OK, , , 
11,201104342,W-618861,FED,DOI-WFMI,BIA,USOKANA,Anadarko Agency,OKANA,Anadarko Agency,1158, ,F2LX,4 MILE RD.,OK-ANA-110058,4 Mile Road, , , ,2011,4/15/2011 0:00:00,105,1510,11.000000000000000,Powerline,4/21/2011 0:00:00,111,2100,800.000000000000000,E,34.782499999999999,-98.457200000000000,2.000000000000000,BIA,OK, , , 
12,201104343,W-618862,FED,DOI-WFMI,BIA,USOKANA,Anadarko Agency,OKANA,Anadarko Agency,1159, ,F2L2,CEMENT,OK-OKS-511002,Cement,OK3492909814020110415,CEMENT, ,2011,4/15/2011 0:00:00,105,1510,7.000000000000000,Arson,4/21/2011 0:00:00,111,2200,3000.000000000000000,F,34.920299999999997,-98.137200000000007,8.000000000000000,PRIVATE,OK, , , 
13,201104476,W-624886,FED,DOI-WFMI,TRIBE,USOKKIA,Kickapoo Field Office,OKKIA,Kickapoo Field Office,1134, ,F9F9,DEEP ROCK,OK-SHA-001135,Deep Rock, , , ,2011,8/4/2011 0:00:00,216,1030,7.000000000000000,Arson,8/6/2011 0:00:00,218,1200,685.000000000000000,E,36.014699999999998,-96.678600000000003,2.000000000000000,BIA,OK, , , 
14,201104129,W-629876,FED,DOI-WFMI,BIA,USMTFBA,Fort Belknap Agency,MTFBA,Fort Belknap Agency,62, ,GH0D,WILDHORSE,MT-FBA-000062,Wild Horse,MT4827710886020111001,WILDHORSE, ,2011,10/1/2011 0:00:00,274,1930,1.000000000000000,Lightning,10/2/2011 0:00:00,275,0330,1847.000000000000000,F,48.276699999999998,-108.860699999999994,9.000000000000000,TRIBAL,MT, , , 
15,201104189,W-625879,FED,DOI-WFMI,BIA,USMTNCA,Northern Cheyenne Agency,MTNCA,Northern Cheyenne Agency,35, ,GB0J,BOSS RIBS,MT-NCA-000035,Boss Ribs,MT4553410668420110822,BOSSRIBS,BLACK SPRINGS COMPLEX,2011,8/22/2011 0:00:00,234,1355,1.000000000000000,Lightning,11/28/2011 0:00:00,332,1200,4537.000000000000000,F,45.533819999999999,-106.685149999999993,2.000000000000000,BIA,MT, , , 
16,201104957,W-620947,FED,DOI-WFMI,BIA,USNMRNA,Ramah Navajo Agency,NMRNA,Ramah Navajo Agency,96, ,F1JC,LAMBSON,NM-N6S-096,Lambson, , , ,2011,3/16/2011 0:00:00,75,1630,9.000000000000000,Miscellaneous,3/18/2011 0:00:00,77,2200,700.000000000000000,E,34.998100000000001,-108.461100000000002,2.000000000000000,BIA,NM, , , 
17,201104579,W-629021,FED,DOI-WFMI,BIA,USCOSUA,Southern Ute Agency,COSUA,Southern Ute Agency,52, ,GB6M,SAMBRITO 2,CO-SUA-000236,SAMBRITO 2, , , ,2011,8/24/2011 0:00:00,236,1401,1.000000000000000,Lightning,8/29/2011 0:00:00,241,1200,535.000000000000000,E,37.096594000000003,-107.472593000000003,2.000000000000000,BIA,CO, , , 
18,201104876,W-621130,FED,DOI-WFMI,BIA,USNMMEA,Mescalero Agency,NMMEA,Mescalero Agency,61, ,F5SS,NUMBER 3,NM-MEA-000039,Number 3,NM3317110540120110628,NUMBER3, ,2011,6/28/2011 0:00:00,179,0958,1.000000000000000,Lightning,7/10/2011 0:00:00,191,1900,964.000000000000000,E,33.137200000000000,-105.396299999999997,2.000000000000000,BIA,NM, , , 
19,201106853,W-617578,FED,DOI-WFMI,BLM,USAZGID,Gila District Office,AZSAD,Safford-Tucson Zone, , ,F0ES,JELKS,AZ-SAD-011008,JELKS, , , ,2011,1/27/2011 0:00:00,27,1300,13.000000000000000,Missing/Undefined,2/7/2011 0:00:00,38,1200,716.000000000000000,E,31.601099999999999,-110.558300000000003,8.000000000000000,PRIVATE,AZ,Santa Cruz,023,Santa Cruz
20,201106872,W-619525,FED,DOI-WFMI,BLM,USAZGID,Gila District Office,AZSAD,Safford-Tucson Zone, , ,F2NM,PUERTO BLANCO, , , , , ,2011,5/9/2011 0:00:00,129,1808,13.000000000000000,Missing/Undefined,5/14/2011 0:00:00,134,1800,509.000000000000000,E,31.340000000000000,-109.077500000000001,1.000000000000000,BLM,AZ,Cochise,003,Cochise
21,201106873,W-619008,FED,DOI-WFMI,BLM,USAZGID,Gila District Office,AZSAD,Safford-Tucson Zone, , ,F2RC,EMPIRE,AZ-SAD-011033,EMPIRE,AZ3176511067520110420,EMPIRE, ,2011,4/20/2011 0:00:00,110,1615,13.000000000000000,Missing/Undefined,4/23/2011 0:00:00,113,1800,2009.000000000000000,F,31.762499999999999,-110.678899999999999,1.000000000000000,BLM,AZ,Pima,019,Pima
22,201106896,W-620023,FED,DOI-WFMI,BLM,USAZGID,Gila District Office,AZSAD,Safford-Tucson Zone, , ,F4G5,EMPIRE 2,AZ-SAD-011056,EMPIRE 2, , , ,2011,6/1/2011 0:00:00,152,1300,13.000000000000000,Missing/Undefined,6/3/2011 0:00:00,154,1700,611.000000000000000,E,31.750800000000002,-110.634699999999995,1.000000000000000,BLM,AZ,Pima,019,Pima
23,201108598,W-624439,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,F9FT,DEAD HORSE CAVE,ID-TFD-000310,Dead Horse Cave,ID4299211488320110804,DEADHORSECAVE, ,2011,8/4/2011 0:00:00,216,2024,1.000000000000000,Lightning,8/9/2011 0:00:00,221,1600,6963.000000000000000,G,42.992330000000003,-114.883300000000006,1.000000000000000,BLM,ID, , , 
24,201108600,W-624441,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,F9FW,DOUBLE A,ID-TFD-000314,Double A,ID4286811452720110804,DOUBLEA, ,2011,8/4/2011 0:00:00,216,2054,1.000000000000000,Lightning,8/8/2011 0:00:00,220,1800,13131.000000000000000,G,42.868299999999998,-114.527199999999993,1.000000000000000,BLM,ID,Lincoln,063,Lincoln
25,201108610,W-626670,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,GD55,HWY 46 MM 103,ID-GOX-000462,Hwy 46 MM 103,ID4280911470420110901,HWY46MM103, ,2011,9/1/2011 0:00:00,244,1333,2.000000000000000,Equipment Use,9/2/2011 0:00:00,245,1900,4982.000000000000000,F,42.808100000000003,-114.704400000000007,7.000000000000000,STATE,ID,Gooding,047,Gooding
26,201108611,W-626669,FED,DOI-WFMI,BLM,USIDTFD,Twin  Falls District,IDSHD,Shoshone Field Office, , ,GD62,DEVILS CORRAL 3,ID-TFD-000463,Devils Corral 3, , , ,2011,9/1/2011 0:00:00,244,1723,9.000000000000000,Miscellaneous,9/2/2011 0:00:00,245,1900,535.000000000000000,E,42.601579999999998,-114.342749999999995,1.000000000000000,BLM,ID,Jerome,053,Jerome
27,201110350,W-632577,FED,DOI-WFMI,BLM,USORPRD,Prineville District,ORPRD,Prineville District, , ,GHU8,0848,OR-PRD-0848,MURDERERS CREEK,OR4431411944320111001,MURDERERSCREEK,MURDERERS CREEK COMPLEX,2011,10/1/2011 0:00:00,274,1353,1.000000000000000,Lightning,11/9/2011 0:00:00,313,1013,1089.000000000000000,F,44.313600000000001,-119.442800000000005,1.000000000000000,BLM,OR,Grant,023,Grant
28,201110397,W-625052,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,F7KQ,WHITEHORSE,OR-VAD-00041,Whitehorse, , , ,2011,7/15/2011 0:00:00,196,2032,1.000000000000000,Lightning,7/16/2011 0:00:00,197,1300,554.000000000000000,E,42.504700000000000,-117.916399999999996,1.000000000000000,BLM,OR,Malheur,045,Malheur
29,201110411,W-626463,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,F8VV,JACKIES BUTTE,OR-VAD-00057,Jackie's Butte, , , ,2011,7/30/2011 0:00:00,211,2123,1.000000000000000,Lightning,7/31/2011 0:00:00,212,1730,875.000000000000000,E,42.583894000000001,-117.640184000000005,1.000000000000000,BLM,OR,Malheur,045,Malheur
30,201110414,W-630274,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,F8YN,SAND SPRINGS,OR-VAD-000061,Sand Springs,OR4296711776020110731,SANDSPRINGS, ,2011,7/31/2011 0:00:00,212,1901,1.000000000000000,Lightning,8/3/2011 0:00:00,215,1958,6187.000000000000000,G,42.966591000000001,-117.759789999999995,1.000000000000000,BLM,OR,Malheur,045,Malheur
31,201110424,W-630540,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,F9NH,CLARKS BUTTE,OR-VAD-083,Clarks Butte,OR4306511751920110806,CLARKSBUTTE, ,2011,8/6/2011 0:00:00,218,2115,1.000000000000000,Lightning,8/12/2011 0:00:00,224,1800,13299.000000000000000,G,43.065294000000002,-117.513231000000005,1.000000000000000,BLM,OR,Malheur,045,Malheur
32,201110428,W-630532,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,F9P0,PASCUAL 1,OR-VAD-000087,Pascual 1,OR4289811760220110806,PASCUAL1, ,2011,8/6/2011 0:00:00,218,2330,1.000000000000000,Lightning,8/9/2011 0:00:00,221,1700,1742.000000000000000,F,42.898294000000000,-117.601586999999995,1.000000000000000,BLM,OR,Malheur,045,Malheur
33,201110437,W-630275,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,GB79,WEST LITTLE,OR-VAD-0116,West Little Fire,OR4235811722120110824,WESTLITTLEFIRE, ,2011,8/24/2011 0:00:00,236,1900,1.000000000000000,Lightning,8/29/2011 0:00:00,241,2000,4304.000000000000000,F,42.351875000000000,-117.220690000000005,1.000000000000000,BLM,OR,Malheur,045,Malheur
34,201110445,W-630469,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,GCE4,VINES HILL,OR-VAD-124,Vines Hill,OR4391611746120110825,VINESHILL, ,2011,8/25/2011 0:00:00,237,1400,1.000000000000000,Lightning,8/27/2011 0:00:00,239,2000,1226.000000000000000,F,43.916297000000000,-117.460686999999993,1.000000000000000,BLM,OR,Malheur,045,Malheur
35,201113127,W-632056,FED,DOI-WFMI,NPS,USCAYNP,Yosemite National Park,CAYNP,Yosemite National Park,2558, ,F8XL,AVALANCHE,CA-YNP-2558,AVALANCHE,CA3766311970420110731,AVALANCHE, ,2011,7/31/2011 0:00:00,212,1142,1.000000000000000,Lightning,9/11/2011 0:00:00,254,1200,1069.000000000000000,F,37.663229999999999,-119.703950000000006,3.000000000000000,NPS,CA, , , 
36,201113178,W-632069,FED,DOI-WFMI,NPS,USCAYNP,Yosemite National Park,CAYNP,Yosemite National Park,3619, ,GF5Q,TAMARACK,CA-YNP-3619,TAMARACK,CA3776611974120110913,TAMARACK, ,2011,9/13/2011 0:00:00,256,1912,1.000000000000000,Lightning,10/4/2011 0:00:00,277,1200,1015.000000000000000,F,37.766359999999999,-119.740589999999997,3.000000000000000,NPS,CA, , , 
37,201120866,FWS-2011CAGRRF5PM,FED,FWS-FMIS,FWS,USCAGRR,Grasslands Wildlife Management Area,CAGRR,GRASSLANDS WILDLIFE MANAGEMENT AREA, , ,F5PM,REST, , , , , ,2011,6/26/2011 0:00:00,177,1200,9.000000000000000,Miscellaneous,6/26/2011 0:00:00,177,1500,575.000000000000000,E,36.859000000000002,-120.787999999999997,8.000000000000000,PRIVATE,CA, , , 
38,201142493,2011AFSNER-20110220-014,NONFED,ST-NASF,ST/C&L,USALALS,Alabama Forestry Commission,ALAFS,Alabama Forestry Commission, ,NER-20110220-014, ,"6301 US HWY 278W, AL",AL-ALS-20110220014,Knightens Crossroads,AL3396208567820110220,KNIGHTENSCROSSROADS, ,2011,2/20/2011 0:00:00,51,1658,7.000000000000000,Arson,2/21/2011 0:00:00,52,0044,919.000000000000000,E,34.180259800000002,-87.127475000000004,14.000000000000000,MISSING/NOT SPECIFIED,AL,Calhoun,015,Calhoun
39,201144993,2011OKOFS3-2011-30189-A,NONFED,ST-NASF,ST/C&L,USOKOKS,Oklahoma Division of Forestry,OKOFS,Oklahoma Forestry Services, ,3-2011-30189-A, ,30189,OK-NEU-11-30189,Rocky, , , ,2011,3/21/2011 0:00:00,80,2030,7.000000000000000,Arson,3/21/2011 0:00:00,80,2030,530.000000000000000,E,35.624816639999999,-94.751683360000001,8.000000000000000,PRIVATE,OK,Adair,001,Adair
40,201150276,2011FLFLS2011061413,NONFED,ST-NASF,ST/C&L,USFLFLS,Florida Forest Service,FLFLS,Florida Forest Service, ,2011061413, ,LONG TRAM (63), , ,FL3011508234720110812,LONGTRAM, ,2011,9/2/2011 0:00:00,245,2000,1.000000000000000,Lightning,12/1/2011 0:00:00,335,1220,638.000000000000000,E,30.115400000000001,-82.346699999999998,14.000000000000000,MISSING/NOT SPECIFIED,FL,Union,125,Union
41,201152432,2011FLFLS2011080372,NONFED,ST-NASF,ST/C&L,USFLFLS,Florida Forest Service,FLFLS,Florida Forest Service, ,2011080372, ,SWAMP(38),FL-FLS-2011-08-0372,SWAMP,FL2917908259420110426,SWAMP, ,2011,4/26/2011 0:00:00,116,1555,1.000000000000000,Lightning,6/15/2011 0:00:00,166,1615,1300.000000000000000,F,29.178500000000000,-82.594499999999996,7.000000000000000,STATE,FL,Levy,075,Levy
42,201152476,2011FLFLS2011160446,NONFED,ST-NASF,ST/C&L,USFLFLS,Florida Forest Service,FLFLS,Florida Forest Service, ,2011160446, ,ATLANTIC  (43),FL-FLS-2011-16-0446,ATLANTIC FIRE,FL2707908016820110518,ATLANTICFIRE, ,2011,5/18/2011 0:00:00,138,1145,1.000000000000000,Lightning,6/9/2011 0:00:00,160,1620,1047.000000000000000,F,27.079400000000000,-80.167900000000003,8.000000000000000,PRIVATE,FL,Martin,085,Martin
43,201153808,2011FLFLS2011160055,NONFED,ST-NASF,ST/C&L,USFLFLS,Florida Forest Service,FLFLS,Florida Forest Service, ,2011160055, ,(HI) TRACER (55),FL-FLS-2011-16-0055,Tracer,FL2752708125520110114,TRACER, ,2011,1/14/2011 0:00:00,14,0750,9.000000000000000,Miscellaneous,1/14/2011 0:00:00,14,1209,1089.200000000000045,F,27.527000000000001,-81.252600000000001,8.000000000000000,PRIVATE,FL,Highlands,055,Highlands
44,201108669,W-630467,FED,DOI-WFMI,BLM,USMTDFD,Dillon Field Office,MTDFD,Dillon Field Office, , ,EKS3,MELROSE,MT-CES-000412,MELROSE,MT4550311253520111001,MELROSE, ,2011,10/1/2011 0:00:00,274,1602,1.000000000000000,Lightning,10/2/2011 0:00:00,275,1600,2569.000000000000000,F,45.506950000000003,-112.542783000000000,1.000000000000000,BLM,MT,Madison,057,Madison
45,201108732,W-627955,FED,DOI-WFMI,BLM,USMTMCD,Miles City Field Office,MTMCD,Miles City Field Office, , ,GB03,MAVERICK,MT-MCD-039,MAVERICK,MT4526310580220110822,MAVERICK,DIAMOND COMPLEX,2011,8/22/2011 0:00:00,234,1339,1.000000000000000,Lightning,9/8/2011 0:00:00,251,2000,10714.799999999999272,G,45.263300000000001,-105.811700000000002,1.000000000000000,BLM,MT,Powder River,075,Powder River
46,201108734,W-626635,FED,DOI-WFMI,BLM,USMTMCD,Miles City Field Office,MTMCD,Miles City Field Office, , ,GBR4,MULLINS COULEE, , ,MT4583610601620110822,MULLINSCOULEE, ,2011,8/22/2011 0:00:00,234,0022,1.000000000000000,Lightning,8/22/2011 0:00:00,234,2041,2000.000000000000000,F,45.835799999999999,-106.016400000000004,8.000000000000000,PRIVATE,MT,Custer,017,Custer
47,201108735,W-629445,FED,DOI-WFMI,BLM,USMTMCD,Miles City Field Office,MTMCD,Miles City Field Office, , ,GBT9,MILL,MT-CNF-035,MILL,MT4577310607420110822,MILL,DIAMOND COMPLEX,2011,8/22/2011 0:00:00,234,1001,1.000000000000000,Lightning,9/8/2011 0:00:00,251,2000,5481.800000000000182,G,45.767800000000001,-106.068100000000001,5.000000000000000,USFS,MT,Powder River,075,Powder River
48,201110452,W-630269,FED,DOI-WFMI,BLM,USORVAD,Vale District,ORVAD,Vale District, , ,GF8P,WHITE MULE FIRE, , ,OR4264611760220110915,WHITEMULEFIRE, ,2011,9/15/2011 0:00:00,258,1836,1.000000000000000,Lightning,9/16/2011 0:00:00,259,1200,949.000000000000000,E,42.645800000000001,-117.601787000000002,1.000000000000000,BLM,OR,Malheur,045,Malheur
49,201110492,W-621041,FED,DOI-WFMI,BLM,USUTCCD,Cedar City Field Office,UTCCD,Cedar City Field Office, , ,F46Q,COTTONWOOD,UT-CCD-110189,Cottonwood,UT3707811375020110616,COTTONWOOD, ,2011,6/16/2011 0:00:00,167,2256,11.000000000000000,Powerline,6/19/2011 0:00:00,170,1800,1113.000000000000000,F,37.078299999999999,-113.750299999999996,1.000000000000000,BLM,UT,Washington,053,Washington
50,201110607,W-626521,FED,DOI-WFMI,BLM,USUTCCD,Cedar City Field Office,UTCCD,Cedar City Field Office, , ,F9H3,WRANGLER,UT-CCD-110513,Wrangler,UT3811111315820110805,WRANGLER, ,2011,8/5/2011 0:00:00,217,1600,1.000000000000000,Lightning,8/13/2011 0:00:00,225,1445,8455.000000000000000,G,38.110799999999998,-113.158100000000005,1.000000000000000,BLM,UT,Iron,021,Iron
51,201113331,W-629180,FED,DOI-WFMI,NPS,USORCLP,Crater Lake National Park,ORCLP,Crater Lake National Park,171, ,GDZ1,TRAIL FIRE,OR-CLP-110110,Red Cone, , ,RED CONE COMPLEX,2011,8/28/2011 0:00:00,240,1745,1.000000000000000,Lightning,11/3/2011 0:00:00,307,1025,645.000000000000000,E,42.980139999999999,-122.218469999999996,3.000000000000000,NPS,OR, , , 
52,201120915,FWS-2011GAOKRF25M,FED,FWS-FMIS,FWS,USGAOKR,Okefenokee National Wildlife Refuge,GAOKR,OKEFENOKEE NATIONAL WILDLIFE REFUGE, , ,F25M,HONEY PRAIRIE,GA-OKR-000001,Honey Prairie,GA3073008236920110430,HONEYPRAIRIE,HONEY PRAIRIE COMPLEX,2011,4/29/2011 0:00:00,119,1600,1.000000000000000,Lightning,12/22/2011 0:00:00,356,1500,309200.000000000000000,G,30.729720000000000,-82.368610000000004,4.000000000000000,FWS,GA, , , 
53,201120953,FWS-2011LASBRF56A,FED,FWS-FMIS,FWS,USLASBR,Sabine National Wildlife Refuge,LASBR,SABINE NATIONAL WILDLIFE REFUGE, , ,F56A,GRAND FEU,LA-SBR-011005,Grand Fue,LA2992909347420110703,GRANDFUE, ,2011,7/2/2011 0:00:00,183,1700,1.000000000000000,Lightning,7/14/2011 0:00:00,195,1400,6174.000000000000000,G,29.928611109999999,-93.474166670000002,4.000000000000000,FWS,LA, , , 
54,201120956,FWS-2011LASBRF3VU,FED,FWS-FMIS,FWS,USLASBR,Sabine National Wildlife Refuge,LASBR,SABINE NATIONAL WILDLIFE REFUGE, , ,F3VU,TISON,LA-SBR-011003,Tison,LA2983809357120110516,TISON, ,2011,5/16/2011 0:00:00,136,1445,9.000000000000000,Miscellaneous,5/27/2011 0:00:00,147,0900,5968.000000000000000,G,29.835555560000000,-93.571388889999994,4.000000000000000,FWS,LA, , , 
55,201120959,FWS-2011LASBRF6YR,FED,FWS-FMIS,FWS,USLASBR,Sabine National Wildlife Refuge,LASBR,SABINE NATIONAL WILDLIFE REFUGE, , ,F6YR,COCODRIE,LA-SBR-011006,Cocodrie, , , ,2011,7/9/2011 0:00:00,190,1400,1.000000000000000,Lightning,7/15/2011 0:00:00,196,1700,5820.000000000000000,G,29.834722220000000,-93.512500000000003,4.000000000000000,FWS,LA, , , 
56,201120962,FWS-2011NEVARF3L9,FED,FWS-FMIS,FWS,USNEVAR,Valentine National Wildlife Refuge,NEVAR,VALENTINE NATIONAL WILDLIFE REFUGE, , ,F3L9,MOTHER'S DAY,NE-NES-110289,Mothers Day,NE4188410083120110508,MOTHERSDAY, ,2011,5/8/2011 0:00:00,128,0845,1.000000000000000,Lightning,5/8/2011 0:00:00,128,2200,1000.000000000000000,F,41.866999999999997,-100.835999999999999,8.000000000000000,PRIVATE,NE, , , 
57,201120963,FWS-2011NEVARF2WH,FED,FWS-FMIS,FWS,USNEVAR,Valentine National Wildlife Refuge,NEVAR,VALENTINE NATIONAL WILDLIFE REFUGE, , ,F2WH,FINNEY LOOP,NE-NES-110240,THEDFORD II,NE4198910078120110422,THEDFORDII, ,2011,4/22/2011 0:00:00,112,1500,9.000000000000000,Miscellaneous,4/22/2011 0:00:00,112,2000,3895.000000000000000,F,41.992222220000002,-100.785277780000001,8.000000000000000,PRIVATE,NE, , , 
58,201120964,FWS-2011NEVARF19P,FED,FWS-FMIS,FWS,USNEVAR,Valentine National Wildlife Refuge,NEVAR,VALENTINE NATIONAL WILDLIFE REFUGE, , ,F19P,HALSEY DUMP, , ,NE4191010026720110405,HALSEYDUMP, ,2011,4/5/2011 0:00:00,95,0530,4.000000000000000,Campfire,4/5/2011 0:00:00,95,1130,2847.000000000000000,F,41.909948700000001,-100.267021299999996,8.000000000000000,PRIVATE,NE, , , 
59,201120965,FWS-2011NEVARF3LQ,FED,FWS-FMIS,FWS,USNEVAR,Valentine National Wildlife Refuge,NEVAR,VALENTINE NATIONAL WILDLIFE REFUGE, , ,F3LQ,GRADUATION,NE-NES-110287,Graduation,NE4198910022620110506,GRADUATION, ,2011,5/7/2011 0:00:00,127,0830,2.000000000000000,Equipment Use,5/8/2011 0:00:00,128,1500,1056.000000000000000,F,41.953611109999997,-100.218888890000002,8.000000000000000,PRIVATE,NE, , , 
60,201120984,FWS-2011NVDSRGC8L,FED,FWS-FMIS,FWS,USNVDSR,Desert National Wildlife Refuge,NVDSR,DESERT NATIONAL WILDLIFE RANGE, , ,GC8L,MORMON,NV-DSR-000146,MORMON, , , ,2011,8/28/2011 0:00:00,240,1245,1.000000000000000,Lightning,10/1/2011 0:00:00,274,1800,716.000000000000000,E,36.646111110000000,-115.131944439999998,4.000000000000000,FWS,NV, , , 
