"","FIRE_ID","FIRE_TYPE","IG_DATE","LATITUDE","LONGITUDE","ACRES","US_L4CODE","ECO_US_ID","SECTION","year","month","ppt","tmean","vpdmax","vpdmin","PDSI","Open_Water","Developed","Barren","Deciduous","Evergreen","Mixed","Shrub","grass","Pasture","Crops","Wetlands","DOY","PET","EVI","NDVI","Elevation"
"27","UT3845911206020120605","Wildfire",2012-06-05,38.489,-112.017,1552,"19e",49,"Bonneville Basin Section",2012,6,0,14.1700010299683,24.0729999542236,6.64900016784668,-2.94,0.494287045,2.537698342,0.09133565,19.73745478,22.84823955,17.5776353,30.86965866,5.779218453,0,0,0.064472223,157,6.3,0.2633,0.5237,2825
"28","MT4651510773320120605","Wildfire",2012-06-05,46.53,-107.769,1272,"43p",61,"Powder River Basin Section",2012,6,20.0919990539551,19.0500011444092,30.2509994506836,2.74000000953674,1.13,0,0.041200917,0,0,27.86615076,0,43.52787332,26.71252508,0.967325881,0.840140441,0.044783606,157,7.8,0.1638,0.3615,1028
"29","ID4325711609020120607","Wildfire",2012-06-07,43.261,-116.109,1075,"12h",27,"Owyhee Uplands Section",2012,6,5.96700000762939,17.0180015563965,30.128999710083,3.36700010299683,-0.93,0.01253649,1.146193384,0,0,0,0,29.16703978,69.67423035,0,0,0,159,5.4,0.1199,0.2107,1007
"30","TX2957509453720120608","Wildfire",2012-06-08,29.577,-94.545,1122,"34g",167,"Eastern Gulf Prairies and Marshes Section",2012,6,86.447998046875,27.923002243042,20.0330009460449,2.77699995040894,-4.78,33.56555689,1.858982395,0.041191325,0,0,0,0,0.001790927,0.182674571,0.034027616,64.31577628,160,5.4,0.3622,0.5856,2
"31","WY4229810478320120609","Wildfire",2012-06-09,42.294,-104.77,2529,"25f",62,"Northwestern Great Plains Section",2012,6,14.9930000305176,22.7070007324219,41.140998840332,5.20900011062622,-4.26,7.0866847,2.185479104,1.159020475,0,9.709259624,0,6.509861527,73.0451606,0,0.001791376,0.302742597,161,8.5,0.0909,0.1989,1427
"32","CO4058910540420120609","Wildfire",2012-06-09,40.658,-105.357,90769,"21c",59,"Northern Parks and Ranges Section",2012,6,14.4040002822876,18.7950000762939,32.8779983520508,5.19399976730347,-3.48,0,1.699802973,0,0.200608992,31.18932474,0.304495791,8.907397457,56.63442594,0.134336378,0,0.929607738,161,7.2,0.2663,0.5989,2215
"33","AZ3324911108620120610","Wildfire",2012-06-10,33.254,-111.068,2835,"23h",37,"Tonto Transition Section",2012,6,0,29.3710021972656,57.3110008239746,19.4249992370605,-2.57,0,1.137788927,0.017917936,0,1.612614227,0.066296363,77.6545422,19.44275219,0,0,0.068088156,162,8.6,0.1534,0.2273,1177
"34","NV3967911463320120612","Wildfire",2012-06-12,39.614,-114.585,11652,"13q",50,"Northeastern Great Basin Section",2012,6,0,15.4980010986328,27.7019996643066,7.9980001449585,-2.89,0,0.494295897,0,1.15514802,50.51310063,0.003581854,23.52920107,24.25452657,0.001790927,0,0.048355033,164,6.2,0.2108,0.3207,2304
"35","FL2856108089320120223","Wildfire",2012-02-23,28.569,-80.896,1562,"75d",158,"Florida Coastal Lowlands (Eastern) Section",2012,2,62.0270004272461,18.9220008850098,14.206000328064,0.926999986171722,-2.16,1.831049001,1.676968557,0,0,3.121024814,0.032249395,0.451491535,1.365224402,0.100331452,0,91.42166084,54,5.3,0.2185,0.5265,4
"36","TX3640110222320120225","Wildfire",2012-02-25,36.422,-102.206,1263,"25e",166,"Southern High Plains Section",2012,2,4.76599979400635,2.75800013542175,9.24300003051758,0.666999995708466,-3.03,0,1.218026797,0,0,0,0,4.521028874,72.49050656,0,21.69162427,0.078813499,56,4.5,0.0874,0.1633,1161
"37","SD4357810084420120225","Wildfire",2012-02-25,43.603,-100.837,4599,"43f",62,"Northwestern Great Plains Section",2012,2,23.0440006256104,-2.08700013160706,5.61499977111816,0.437000006437302,-1.95,0.406576873,0.549863877,0.051941539,1.422123513,0.008955438,0,0.517624301,95.10674882,0.54090844,0.718226107,0.677031093,56,2.6,0.1353,0.2073,667
"38","OK3621509615120120226","Wildfire",2012-02-26,36.212,-96.169,1761,"29a",89,"Flint Hills Section",2012,2,44.0880012512207,6.7310004234314,9.01700019836426,1.0789999961853,-4.2,4.41658458,6.248768693,0,72.94707621,0.030446852,0.084176592,1.792782305,13.28378257,1.096086684,0,0.100295514,57,4.6,0.1845,0.414,258
"39","NC3522208417320120226","Wildfire",2012-02-26,35.221,-84.171,745,"66g",122,"Blue Ridge Mountains Section",2012,2,81.4769973754883,6.00600051879883,8.57600021362305,0.356000006198883,-1.25,0.007163196,2.523235615,0,57.42375674,3.246718361,33.98399026,0.526494869,0.68408517,1.574112211,0,0.030443581,57,3,0.172,0.5199,966
"40","MO3781009282520120302","Wildfire",2012-03-02,37.785,-92.803,2883,"39e",106,"Ozark Highlands Section",2012,3,120.369003295898,14.6550006866455,16.1630001068115,1.39100003242493,-1.87,0.154091487,2.538926018,0.005375284,80.88907205,0,0.390604003,0.60561538,1.23452366,14.14058161,0,0.041210514,62,2.1,0.2362,0.4686,274
"41","MO3745909046820120302","Wildfire",2012-03-02,37.46,-90.47,614,"39f",106,"Ozark Highlands Section",2012,3,83.8109970092773,14.53600025177,16.076000213623,1.10099995136261,-1.71,0.899174264,1.19471959,0.010747103,80.76626843,0.838274015,7.773737663,0.139712336,0.343907288,7.397589067,0,0.635870247,62,4,0.2103,0.483,187
"42","OK3581809595220120303","Wildfire",2012-03-03,35.805,-95.95,4080,"29a",162,"Cross Timbers and Prairie Section",2012,3,154.787994384766,15.94700050354,14.1750001907349,1.50100004673004,-3.66,0.177317667,5.052657974,0,73.7337011,0,0,1.121220805,7.277188709,12.19014185,0.447771887,0,63,3.4,0.1448,0.3776,268
"43","OK3574109645020120304","Wildfire",2012-03-04,35.74,-96.435,1380,"29a",162,"Cross Timbers and Prairie Section",2012,3,158.97200012207,15.3170003890991,14.9119997024536,1.13900005817413,-4.44,0.198792915,3.524544657,0,52.74280495,0,0.021491126,1.710335441,31.68687429,10.10978384,0,0.005372781,64,5.2,0.1707,0.3775,265
"44","OK3496809505120120304","Wildfire",2012-03-04,34.965,-95.036,1591,"37a",91,"Arkansas Valley Section",2012,3,187.095001220703,16.1990013122559,15.7089996337891,1.33000004291534,-2.86,0.741696227,3.930631696,0.123616038,19.51341861,8.133576982,23.76294385,1.838116737,4.68486868,36.45239887,0,0.818732309,64,5,0.2024,0.4378,400
"45","MS3475108905520120306","Wildfire",2012-03-06,34.761,-89.061,573,"65e",98,"Coastal Plains, Middle Section",2012,3,129.253005981445,16.4680004119873,16.9409999847412,0.921999990940094,-2.87,1.09042077,5.482542525,0.016114593,28.12891674,19.87108326,10.0340197,5.013428827,3.237242614,10.10922113,10.9042077,6.112802149,66,5,0.2505,0.5994,146
"46","NC3410107825120120308","Wildfire",2012-03-08,34.116,-78.284,558,"63c",121,"Atlantic Coastal Flatlands Section",2012,3,107.337997436523,16.2480010986328,17.6359996795654,0.144999995827675,-4.24,0.037611491,0.505068596,0.012537164,0.037611491,8.177812802,0.016119211,2.172511373,2.195794677,0.016119211,0,86.82881398,68,4.1,0.3749,0.7279,21
"47","NE4268309789120120310","Wildfire",2012-03-10,42.789,-97.875,1649,"47k",67,"Western Glaciated Plains Section",2012,3,12.3149995803833,10.488000869751,15.8540000915527,0.878000020980835,-2.3,8.419317856,1.45457151,0.028661508,25.47649756,0.318859272,0.123602752,0.066279736,54.39058469,0.021496131,2.072585268,7.627543709,70,6,0.2012,0.3175,469
"48","MT4858910949320120313","Wildfire",2012-03-13,48.586,-109.53,3179,"42j",23,"Northwestern Glaciated Plains Section",2012,3,24.1620006561279,3.86900019645691,9.89099979400635,0.91100001335144,0.52,1.519413736,1.449535038,0.005375284,0,0,0,16.52183261,42.57046102,0.487359123,30.97238896,6.47363423,73,3.9,0.107,0.1794,784
"49","SC3382208078720120313","Wildfire",2012-03-13,33.826,-80.789,972,"65p",99,"Coastal Plains and Flatwoods, Lower Section",2012,3,84.2720031738281,17.5400009155273,18.5440006256104,0.574000000953674,-4.21,0.118241427,3.923465549,0.001791537,0.462216489,21.79762801,2.538607618,0.919058368,5.277867355,1.0570067,4.502131929,59.40198502,73,3.4,0.3284,0.6336,30
"50","AZ3328910997820120316","Wildfire",2012-03-16,33.284,-109.957,2011,"79e",36,"Sonoran Mojave Desert Section",2012,3,12.956000328064,9.08500003814697,18.5909996032715,3.63000011444092,-2.8,0,0.001790991,0,0,0,0,69.26300707,30.73520193,0,0,0,76,4.5,0.0782,0.1736,1561
"51","MN4680409347520120317","Wildfire",2012-03-17,46.804,-93.459,823,"50o",110,"Northern Minnesota Drift & Lake Plains Section",2012,3,29.007999420166,4.4040002822876,7.71000003814697,0.556999981403351,-4,0.059110124,1.391774737,0,10.79207566,0,0.073439851,0,0.003582432,4.886436913,0.093143226,82.70043706,77,4.8,0.1515,0.3271,377
"52","MN4891109679920120321","Wildfire",2012-03-21,48.914,-96.805,1286,"48b",65,"Red River Valley Section",2012,3,32.5690002441406,1.67900013923645,5.17999982833862,0.331000000238419,-2.48,0.338582254,2.939753856,0.050160334,10.4530553,0.659250103,3.040074524,0.256175991,0.257967432,22.51661561,46.08659823,13.40176636,81,4.3,0.1177,0.3098,282
"53","SD4461210303320120326","Wildfire",2012-03-26,44.61,-103.006,1415,"43k",62,"Northwestern Great Plains Section",2012,3,3.55900001525879,7.28700017929077,16.4619998931885,1.16700005531311,-2.94,0.265114196,0.001791312,3.215405284,0,0,0,2.635020152,93.31482311,0.446036722,0,0.121809225,86,6,0.107,0.1885,802
"54","CO3943610521720120326","Wildfire",2012-03-26,39.45,-105.191,3436,"21c",59,"Northern Parks and Ranges Section",2012,3,2.84200000762939,4.35700035095215,13.1110000610352,2.37199997901917,-0.85,0,1.065563495,0,9.738713086,56.73454038,4.650871255,14.50957216,12.45007969,0.186249754,0,0.664410179,86,5.3,0.2255,0.4925,2286
"55","FL2996108535820120326","Wildfire",2012-03-26,29.965,-85.34,692,"75a",100,"Florida Coastal Lowlands (Western) Section",2012,3,41.2789993286133,19.6270008087158,14.1820001602173,0.611000001430511,-3.87,1.596230674,6.739640624,0.655690715,0.193482506,7.918450707,0,0.644941687,2.314624053,0.008957523,0,79.92798151,86,4.8,0.3452,0.7127,5
"56","MO3680909113820120327","Wildfire",2012-03-27,36.86,-91.144,12818,"39h",106,"Ozark Highlands Section",2012,3,90.120002746582,14.6520004272461,17.9039993286133,1.29499995708466,0.9,0.023284138,2.539762144,0,79.54757129,8.536323255,4.606677174,0.454936237,1.527797679,2.763648087,0,0,87,4.8,0.2186,0.4738,278
"57","MT4765110995820120329","Wildfire",2012-03-29,47.653,-109.979,1220,"42o",23,"Northwestern Glaciated Plains Section",2012,3,22.5270004272461,5.18800020217896,10.8900003433228,1.35199999809265,-1.93,0.139694821,2.093631349,0,0,0,0,10.55770471,50.21491511,1.233970915,35.56128663,0.198796475,89,3.9,0.1123,0.1689,990
"58","MT4839710981420120330","Wildfire",2012-03-30,48.398,-109.8,1524,"42j",23,"Northwestern Glaciated Plains Section",2012,3,18.7189998626709,4.27600002288818,9.89400005340576,1.08500003814697,-2,0.041197965,0.583936376,0,0,0,0,10.74550405,55.5957584,1.800171957,30.61904421,0.614387046,90,4.8,0.1151,0.1788,880
"59","MN4712909591820120401","Wildfire",2012-04-01,47.13,-95.94,1413,"48d",65,"Red River Valley Section",2012,4,45.5209999084473,7.50600051879883,10.9139995574951,1.30900001525879,-3.23,2.511059768,3.145093404,0.014328444,1.362993212,0.003582111,0.053731664,0,1.590457256,2.563000376,57.6236276,31.13212616,92,4.4,0.1465,0.3137,380
"60","FL2615908147820120404","Wildfire",2012-04-04,26.165,-81.464,801,"76b",101,"Everglades Section",2012,4,90.6389999389648,21.9190006256104,25.1569995880127,0.305000007152557,-1.69,0.007165249,2.529332736,0.077026422,0.252575011,3.871025526,0.582176444,0,0.539184953,0.087774295,0.089565607,91.96417376,95,6.4,0.3184,0.6219,4
"61","FL3054908246520120405","Wildfire",2012-04-05,30.509,-82.458,35440,"75g",99,"Coastal Plains and Flatwoods, Lower Section",2012,4,55.8680000305176,20.5240001678467,24.1140003204346,0.635999977588654,-4.95,0.055524708,0.807794953,0,0.021493436,2.833551253,0,0.087764862,2.874747004,0,0,93.31912378,96,6,0.4298,0.742,38
"62","MN4704809595220120406","Wildfire",2012-04-06,47.029,-95.959,773,"48d",65,"Red River Valley Section",2012,4,62.7200012207031,7.49200057983398,10.7849998474121,1.27199995517731,-3.48,2.033030021,2.323206993,0.010747295,1.026366698,0,0.010747295,0,3.474958802,0.512287741,70.28551981,20.32313534,97,4.7,0.0995,0.2748,378
"63","VA3763008006320120407","Wildfire",2012-04-07,37.613,-80.099,7244,"67h",132,"Northern Ridge & Valley Section",2012,4,104.059997558594,11.5110006332397,13.4779996871948,1.74500000476837,-1.47,0,1.995664714,0,80.8280038,0.580426721,12.6690672,1.975958869,1.904301249,0.023288726,0,0.023288726,98,4.5,0.2399,0.5114,762
"64","VA3775808021320120407","Wildfire",2012-04-07,37.784,-80.168,11055,"67d",132,"Northern Ridge & Valley Section",2012,4,109.233001708984,10.617000579834,13.9630002975464,1.22599995136261,-1.69,0.075213553,4.016761877,0.008953994,77.19775792,0.90793503,14.43025734,1.183718057,1.008219767,1.164019269,0,0.007163196,98,4.4,0.2236,0.4976,616
"65","VA3787807965420120407","Wildfire",2012-04-07,37.879,-79.653,15923,"67c",132,"Northern Ridge & Valley Section",2012,4,64.890998840332,11.4150009155273,14.7299995422363,1.94500005245209,-1.65,0,2.373361037,0.003582432,73.64404958,1.443719997,21.03603926,1.053234936,0.406606004,0.039406749,0,0,98,4.5,0.2077,0.525,825
"66","MN4773109640120120408","Wildfire",2012-04-08,47.731,-96.41,789,"48b",65,"Red River Valley Section",2012,4,34.5839996337891,7.34400033950806,10.7950000762939,1.2039999961853,-2.79,0.202392893,2.58633042,0.120002866,0.198810718,0.008955438,0.032239576,0,0.134331566,6.997779051,72.36531022,17.35384726,99,3.7,0.0926,0.269,310
"67","MN4659409492420120408","Wildfire",2012-04-08,46.582,-94.883,1437,"51l",109,"Minnesota & NE Iowa Morainal, Oak Savannah Section",2012,4,81.5699996948242,6.34600019454956,9.69499969482422,0.871999979019165,-3.54,0.39580908,3.08050506,0.050147757,6.81651294,2.065012985,1.396973225,1.508014686,0.904450613,11.07549028,2.220829229,70.48625414,99,4.1,0.1386,0.3479,405
"68","NJ3983707462620120408","Wildfire",2012-04-08,39.851,-74.628,666,"84b",133,"Upper Atlantic Coastal Plain Section",2012,4,72.8740005493164,11.7330007553101,15.2370004653931,1.682000041008,0.860000000000001,2.095422308,2.86732574,0.669818755,13.07579339,19.43369869,15.90371803,0.607135182,0.582061752,0.134321943,2.7724049,41.85829931,99,5.1,0.2465,0.5883,42
"69","VA3850907865220120408","Wildfire",2012-04-08,38.505,-78.662,3779,"67c",132,"Northern Ridge & Valley Section",2012,4,56.5769996643066,10.8990001678467,14.5059995651245,1.22899997234344,-1.71,1.671054753,7.749897014,0,52.92389805,1.936130962,16.85920513,0.637615747,3.286586786,13.05500331,1.871652965,0.008955277,99,4.5,0.3386,0.6401,587
"70","WV3892507868820120408","Wildfire",2012-04-08,38.926,-78.675,710,"67c",132,"Northern Ridge & Valley Section",2012,4,54.2869987487793,10.2260007858276,14.8819999694824,0.791999995708466,-1.44,0.026862464,3.085601719,0,72.16690544,1.674426934,17.67908309,1.513252149,0.75752149,3.096346705,0,0,99,4.4,0.2249,0.4755,719
"71","FL2695408110920120402","Wildfire",2012-04-02,26.958,-81.11,865,"76a",99,"Coastal Plains and Flatwoods, Lower Section",2012,4,53.2480010986328,22.5690002441406,23.6620006561279,1.02400004863739,-3.7,8.296317524,5.28191718,0.030448488,0,0.519415389,0.012537613,0.777331996,0.383292735,18.26013756,0.836437885,65.60216363,93,5.6,0.3841,0.6379,5
"72","NY4088207283820120409","Wildfire",2012-04-09,40.886,-72.829,1068,"84a",140,"Lower New England Section",2012,4,81.5869979858398,10.6320009231567,12.1219997406006,1.69799995422363,-1.7,0.961727887,20.26075899,0.338485234,25.8985977,27.47819546,5.096978706,0.610706163,2.145530741,4.251661085,1.323495173,11.63386285,100,4.6,0.2234,0.5079,14
"73","PA4020807575920120409","Wildfire",2012-04-09,40.214,-75.749,812,"64b",151,"Northern Appalacian Piedmont Section",2012,4,77.1279983520508,9.98700046539307,12.5270004272461,1.40100002288818,1.07,0.51757795,8.576750184,0.007163709,66.44877053,0.098500994,5.698730233,1.473933055,0.351021724,9.749807475,4.611637445,2.466106703,100,4.9,0.3671,0.7539,222
"74","TX3179610058220120411","Wildfire",2012-04-11,31.808,-100.603,14034,"30d",77,"Rolling Plains Section",2012,4,37.2709999084473,20.5200004577637,32.9749984741211,2.69600009918213,-2.65,0.00179112,0.927799968,0,3.809711451,4.750049256,0.523006932,27.53129982,61.75064033,0,0.67704322,0.028657914,102,5.6,0.2275,0.3729,748
"75","WA4827511828120120411","Wildfire",2012-04-11,48.295,-118.274,1087,"15r",16,"Okanogan Highlands Section",2012,4,59.1959991455078,8.02000045776367,12.5979995727539,0.654999971389771,1.43,0.60367219,2.321540528,0,0.146887595,47.49126735,0.001791312,25.01388267,16.13076579,0.046574116,0,8.243618451,102,3.9,0.1766,0.3728,663
"76","VA3795507978320120411","Wildfire",2012-04-11,37.966,-79.787,1253,"67b",132,"Northern Ridge & Valley Section",2012,4,83.2819976806641,11.3300008773804,15.5559997558594,2.17300009727478,-1.18,0,3.003707618,0.064480307,67.47147642,2.597123462,22.51437374,3.086099121,0.564202683,0.698536655,0,0,102,2.7,0.2479,0.52,713
"77","MS3113308915020120411","Wildfire",2012-04-11,31.136,-89.127,856,"65f",99,"Coastal Plains and Flatwoods, Lower Section",2012,4,96.447998046875,19.9370002746582,19.5149993896484,0.962000012397766,-2.23,0.026873533,9.079671068,0.010749413,0.451475357,44.80713761,2.013723418,19.72875647,10.32660301,0.30277514,0.003583138,13.24865184,102,3.6,0.398,0.7086,90
"78","MN4873909641620120421","Wildfire",2012-04-21,48.753,-96.438,979,"49a",112,"Lake Agassiz, Aspen Parklands Section",2012,4,35.064998626709,6.52600049972534,10.1149997711182,1.04299998283386,-2.33,0.123558484,2.23837834,0,5.943342167,0,0.044767567,0.633908746,0.042976864,10.32519161,11.14712413,69.5007521,112,2.2,0.1494,0.2741,309
